brand,model,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,display_size,warranty,Touchscreen,msoffice,latest_price,old_price,discount,star_rating,ratings,reviews,ID,proc
Lenovo,Core,Intel,Core i3,10th,8,DDR4,512,0,Windows,64,0,ThinNlight,15.6,1,No,No,38990,62190,37,3.9,13,1,108,108
HP,Ryzen,AMD,Ryzen 3,Missing,8,DDR4,512,0,Windows,64,0,ThinNlight,14,0,No,No,43490,52990,17,4.6,163,33,109,109
Lenovo,IdeaPad,Intel,Core i3,11th,8,DDR4,256,0,Windows,64,0,ThinNlight,15.6,1,No,No,39990,61590,35,4.3,543,65,110,110
ASUS,TUF,Intel,Core i5,10th,8,DDR4,512,0,Windows,64,4,Gaming,15.6,1,No,Yes,65990,89990,26,4.4,3850,378,111,111
DELL,Inspiron,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,0,Casual,14,0,Yes,No,71990,94201,23,4.7,7,1,112,112
DELL,Inspiron,Intel,Core i3,11th,8,DDR4,256,0,Windows,64,0,ThinNlight,15.6,0,No,No,42490,59654,28,4.8,9,1,113,113
DELL,Inspiron,Intel,Core i3,11th,8,DDR4,256,1024,Windows,64,0,Casual,15.6,0,No,No,44490,57479,22,4.3,844,103,114,114
DELL,Inspiron,Intel,Core i3,11th,8,DDR4,512,0,Windows,64,0,ThinNlight,14.96,0,No,No,45990,60908,24,4.3,184,29,115,115
acer,Nitro,AMD,5,Missing,,,0,0,Missing,32,4,Casual,0,0,No,No,59990,99999,40,4.5,1946,240,116,116
ASUS,Vivobook,Intel,Core i3,11th,8,DDR4,256,1024,Windows,64,0,Casual,14.1,1,No,Yes,41890,57990,27,4.2,53,6,117,117
acer,Aspire,AMD,Ryzen 5,Missing,8,DDR4,512,0,Windows,64,0,Casual,15.6,1,No,No,43990,52999,16,0.0,0,0,118,118
MSI,Pulse,Intel,i7,Missing,,,0,0,Missing,32,6,Casual,0,0,No,No,109990,139990,21,4.6,78,16,119,119
APPLE,MacBook,Apple,M1 Processor,Missing,16,DDR4,256,0,Mac,64,0,Casual,13.3,1,No,No,132990,149900,11,4.8,640,70,120,120
Lenovo,Ideapad,AMD,Ryzen 5,Missing,8,DDR4,512,0,Windows,64,4,Gaming,15.6,0,No,No,59490,89490,33,4.5,92,10,121,121
HP,Core,Intel,Core i3,10th,8,DDR4,512,0,Windows,64,0,ThinNlight,15.6,1,No,Yes,42490,50294,15,4.3,1296,126,122,122
MSI,Alpha,AMD,Ryzen 7,Missing,16,DDR4,1024,0,Windows,64,8,Casual,15.6,1,No,No,99990,145990,31,4.7,108,24,123,123
ASUS,ROG,AMD,Ryzen 7,Missing,8,LPDDR4X,1024,0,Windows,64,4,Casual,14,0,No,No,72990,123990,41,4.6,198,24,124,124
DELL,Inspiron,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,0,Casual,14,0,Yes,No,71890,92549,22,4.3,3,0,125,125
lenovo,Ideapad,Intel,i5,Missing,,,0,0,Missing,32,0,Casual,0,0,No,No,72990,90000,18,4.2,204,19,126,126
MSI,GF63,Intel,Core i7,10th,16,DDR4,512,0,Windows,64,4,Casual,15.6,2,No,No,79990,95990,16,4.5,484,56,127,127
ASUS,ROG,AMD,Ryzen 9,Missing,16,DDR4,1024,0,Windows,64,6,Casual,15.6,1,No,No,135990,183990,26,0.0,0,0,128,128
Lenovo,IdeaPad,Intel,Core i7,10th,8,DDR4,512,0,Windows,64,4,Gaming,15.6,1,No,Yes,68990,99290,30,4.5,44,2,129,129
MSI,Bravo,AMD,Ryzen 5,Missing,8,DDR4,512,0,Windows,64,4,Casual,15.6,0,No,No,64990,83990,22,4.5,469,80,130,130
Infinix,INBook,Intel,Core i3,10th,8,LPDDR4X,256,0,Windows,64,0,ThinNlight,14,0,No,No,32990,49999,34,4.3,1221,265,131,131
ASUS,ZenBook,Intel,Core i7,11th,16,LPDDR4X,1024,0,Windows,64,0,Casual,14,1,Yes,No,134990,164990,18,0.0,0,0,132,132
acer,Nitro,AMD,Ryzen 7,Missing,16,DDR4,256,1024,Windows,64,6,Casual,15.6,1,No,No,89990,119990,25,4.4,272,36,133,133
Lenovo,IdeaPad,Intel,Core i5,11th,16,DDR4,512,0,Windows,64,0,ThinNlight,15.6,0,No,No,64990,97890,33,0.0,0,0,134,134
Mi,Notebook,Intel,Core i7,10th,8,DDR4,512,0,Windows,64,2,Casual,14,1,No,No,59490,65999,9,4.2,399,40,135,135
HP,Core,Intel,Core i3,11th,8,DDR4,512,0,Windows,64,0,ThinNlight,15.6,1,No,Yes,43970,50196,12,4.3,571,56,136,136
ASUS,VivoBook,Intel,Core i5,11th,16,DDR4,512,0,Windows,64,0,Casual,14,1,No,No,65990,90990,27,0.0,0,0,137,137
APPLE,MacBook,Apple,M1 Processor,Missing,16,DDR4,256,0,Mac,64,0,Casual,13.3,1,No,No,104990,112900,7,4.7,45,4,138,138
DELL,Vostro,Intel,Core i3,10th,4,DDR4,256,0,Windows,64,0,ThinNlight,14,1,No,Yes,36990,40614,8,4.3,1178,137,139,139
APPLE,MacBook,Apple,M1 Processor,Missing,8,DDR4,512,0,Mac,64,0,Casual,13.3,1,No,No,104990,110900,5,4.7,6725,629,140,140
HP,Core,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,0,ThinNlight,15.6,0,No,No,55999,66050,15,4.8,5,1,141,141
ASUS,Vivobook,Intel,Core i5,11th,16,DDR4,512,0,Windows,64,4,Casual,14,1,No,No,73490,110990,33,4.5,213,45,142,142
HP,Pavilion,Intel,Core i5,11th,16,DDR4,512,0,Windows,64,0,ThinNlight,14,1,No,Yes,74490,85359,12,4.3,10,0,143,143
acer,Aspire,Intel,Core i5,11th,8,DDR4,256,1024,Windows,64,0,ThinNlight,15.6,1,No,No,56990,64999,12,4.0,27,2,144,144
DELL,Vostro,AMD,Ryzen 5,Missing,8,DDR4,512,0,Windows,64,0,ThinNlight,14,0,No,No,47490,61740,23,2.5,2,1,145,145
Lenovo,Ideapad,Intel,Core i3,11th,8,DDR4,256,0,Windows,64,0,Casual,14,1,Yes,Yes,53990,75490,28,4.4,299,41,146,146
HP,HP,AMD,Ryzen 5,Missing,8,DDR4,512,0,Windows,64,4,Casual,15.6,1,No,No,59990,76020,21,4.4,1978,188,147,147
acer,Nitro,AMD,Ryzen 7,Missing,16,DDR4,256,1024,Windows,64,4,Casual,15.6,0,No,No,81990,119900,31,4.5,141,24,148,148
ASUS,VivoBook,Intel,Core i3,11th,8,DDR4,256,0,Windows,64,0,ThinNlight,14,0,No,No,36990,52990,30,4.4,20,1,149,149
ASUS,Core,Intel,Core i3,10th,4,DDR4,512,0,Windows,64,0,ThinNlight,15.6,1,No,Yes,39990,49990,20,4.3,2551,297,150,150
DELL,Ryzen,AMD,Ryzen 3,Missing,8,DDR4,256,0,Windows,64,0,ThinNlight,15.6,1,No,No,39990,53640,25,4.6,7,0,151,151
ASUS,Ryzen,AMD,Ryzen 7,Missing,16,DDR4,512,0,Windows,64,4,Casual,14,1,No,No,79990,131990,39,0.0,0,0,152,152
Lenovo,IdeaPad,Intel,Core i3,10th,4,DDR4,256,0,Windows,64,0,Casual,15.6,2,No,No,38940,48200,19,4.3,758,64,153,153
